n_estimators,max_depth,training_score,validation_score,training_confusion_matrix,training_precision,training_recall,validation_confusion_matrix,validation_precision,validation_recall
20,23,0.8903120292954605,0.8336937451548411,"[[   889   1956     37    747]
 [     2  89689      1  10188]
 [     4      3 119975    152]
 [    13  19063     94  51294]]",0.9025909267288224,0.7173903226754613,"[[   40   523    60   247]
 [   13 20809     8  4290]
 [   27    11 29658   168]
 [   42  6596   243 10792]]",0.6896713716761604,0.6195279611895806
20,24,0.9028346826155107,0.8328641179430686,"[[  1116   1771     26    716]
 [    14  90540      0   9326]
 [     3      3 120016    112]
 [    26  16499     81  53858]]",0.9088628718216135,0.7443404606937212,"[[   49   501    54   266]
 [   26 20552     9  4533]
 [   26    13 29652   173]
 [   49  6396   243 10985]]",0.6883111386469287,0.6222363707985494
20,25,0.9046571485887789,0.8307152474601167,"[[  1166   1699     25    739]
 [     8  90252      0   9620]
 [     4      3 120037     90]
 [    18  15774     61  54611]]",0.9128428707234748,0.7497793488934792,"[[   48   489    54   279]
 [   42 20336     8  4734]
 [   29    10 29657   168]
 [   54  6327   253 11039]]",0.6740548491773357,0.6206050664644613
20,26,0.9107603695253769,0.8290831939287608,"[[  1288   1613     15    713]
 [    14  91029      0   8837]
 [     7      2 120044     81]
 [    22  14868     74  55500]]",0.9164420715155268,0.7632973617822147,"[[   49   498    59   264]
 [   45 20317     8  4750]
 [   36    10 29634   184]
 [   59  6383   271 10960]]",0.6682531851245345,0.6193932670106319
20,27,0.9137966794397957,0.8281583635943259,"[[  1422   1530     18    659]
 [    19  91271      1   8589]
 [    10      0 120057     67]
 [    36  14366     58  56004]]",0.9161774541845531,0.774949482083599,"[[   55   497    56   262]
 [   66 20176     7  4871]
 [   22     9 29653   180]
 [   67  6332   266 11008]]",0.6680679949460813,0.6205521968575668
20,28,0.9187948603739455,0.8249214574238035,"[[  1592   1400     13    624]
 [    31  91378      0   8471]
 [    13      1 120056     64]
 [    52  13155     59  57198]]",0.9167740401085296,0.7911626433925952,"[[   64   470    48   288]
 [   91 19963    11  5055]
 [   29    11 29645   179]
 [   88  6354   249 10982]]",0.6588423596979651,0.6205838159700554
20,29,0.9210321413635174,0.8251118636691284,"[[  1655   1344     19    611]
 [    42  91592      0   8246]
 [     7      2 120060     65]
 [    47  12788     54  57575]]",0.9191774684293976,0.7973842112234324,"[[   61   473    55   281]
 [   92 19934     6  5088]
 [   33     9 29655   167]
 [   98  6290   267 11018]]",0.6539631351834498,0.6200260965868007
20,30,0.9227424032749986,0.8223781740041073,"[[  1757   1251     17    604]
 [    71  91288      1   8520]
 [     5      2 120068     59]
 [    69  12065     58  58272]]",0.9149202125578599,0.8061395692905496,"[[   55   463    57   295]
 [  128 19742     7  5243]
 [   33     9 29660   162]
 [  113  6285   265 11010]]",0.6400246756835559,0.6163198200681641
20,31,0.923969847708487,0.8221197655283093,"[[  1829   1200     15    585]
 [    72  91383      0   8425]
 [     8      1 120071     54]
 [    69  11870     62  58463]]",0.91616657373269,0.8120212927499512,"[[   63   470    55   282]
 [  155 19696    10  5259]
 [   32    13 29637   182]
 [  119  6242   260 11052]]",0.6410474526745388,0.6185624552164979
20,32,0.9253638981731138,0.820025296829736,"[[  1883   1177     16    553]
 [    89  91417      0   8374]
 [    12      0 120068     54]
 [   102  11516     58  58788]]",0.9119064454157292,0.8169732559825936,"[[   66   474    53   277]
 [  169 19599     6  5346]
 [   28    10 29659   167]
 [  129  6303   271 10970]]",0.6386695451478878,0.6174833646460556
